Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0944947,2019-10-10,2019-10-10,,Game of Thrones,https://www.imdb.com/title/tt0944947/,tvSeries,9.3,57,2011,"Action, Adventure, Drama, Fantasy, Romance",1734128,2011-04-17,
2,tt4574334,2019-10-10,2019-10-10,,Stranger Things,https://www.imdb.com/title/tt4574334/,tvSeries,8.8,51,2016,"Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",793424,2016-07-11,
3,tt1520211,2019-10-10,2019-10-10,,The Walking Dead,https://www.imdb.com/title/tt1520211/,tvSeries,8.2,44,2010,"Drama, Horror, Thriller",841287,2010-10-31,
4,tt1837492,2019-10-10,2019-10-10,,13 Reasons Why,https://www.imdb.com/title/tt1837492/,tvSeries,7.6,60,2017,"Drama, Mystery, Thriller",251821,2017-03-31,
5,tt2661044,2019-10-10,2019-10-10,,The 100,https://www.imdb.com/title/tt2661044/,tvSeries,7.6,43,2014,"Drama, Mystery, Sci-Fi",210800,2014-03-19,
6,tt2372162,2019-10-10,2019-10-10,,Orange Is the New Black,https://www.imdb.com/title/tt2372162/,tvSeries,8.1,59,2013,"Comedy, Crime, Drama",276492,2013-07-11,
7,tt5420376,2019-10-10,2019-10-10,,Riverdale,https://www.imdb.com/title/tt5420376/,tvSeries,6.9,45,2017,"Crime, Drama, Mystery, Romance",113037,2017-01-26,
8,tt0413573,2019-10-10,2019-10-10,,Grey's Anatomy,https://www.imdb.com/title/tt0413573/,tvSeries,7.6,41,2005,"Drama, Romance",244295,2005-03-27,
9,tt3107288,2019-10-10,2019-10-10,,The Flash,https://www.imdb.com/title/tt3107288/,tvSeries,7.7,43,2014,"Action, Adventure, Drama, Sci-Fi",302328,2014-10-07,
10,tt2193021,2019-10-10,2019-10-10,,Arrow,https://www.imdb.com/title/tt2193021/,tvSeries,7.5,42,2012,"Action, Adventure, Crime, Drama, Mystery, Sci-Fi",404731,2012-10-10,
11,tt6468322,2019-10-10,2019-10-10,,La Casa de Papel,https://www.imdb.com/title/tt6468322/,tvSeries,8.4,70,2017,"Action, Crime, Mystery, Thriller",282975,2017-05-02,
12,tt0898266,2019-10-10,2019-10-10,,The Big Bang Theory,https://www.imdb.com/title/tt0898266/,tvSeries,8.1,22,2007,"Comedy, Romance",710985,2006-05-01,
13,tt2085059,2019-10-10,2019-10-10,,Black Mirror,https://www.imdb.com/title/tt2085059/,tvSeries,8.8,60,2011,"Drama, Sci-Fi, Thriller",430028,2011-12-04,
14,tt1475582,2019-10-10,2019-10-10,,Sherlock,https://www.imdb.com/title/tt1475582/,tvSeries,9.1,88,2010,"Crime, Drama, Mystery, Thriller",792352,2010-07-22,
15,tt2306299,2019-10-10,2019-10-10,,Vikings,https://www.imdb.com/title/tt2306299/,tvSeries,8.5,44,2013,"Action, Adventure, Drama, History, Romance, War",413666,2013-03-03,
16,tt1578873,2019-10-10,2019-10-10,,Pretty Little Liars,https://www.imdb.com/title/tt1578873/,tvSeries,7.4,44,2010,"Drama, Mystery, Romance, Thriller",150515,2010-06-08,
17,tt1405406,2019-10-10,2019-10-10,,The Vampire Diaries,https://www.imdb.com/title/tt1405406/,tvSeries,7.7,43,2009,"Drama, Fantasy, Horror, Mystery, Romance, Thriller",278764,2009-09-10,
18,tt1844624,2019-10-10,2019-10-10,,American Horror Story,https://www.imdb.com/title/tt1844624/,tvSeries,8.0,60,2011,"Drama, Horror, Thriller",273860,2011-10-05,
19,tt0903747,2019-10-10,2019-10-10,,Breaking Bad,https://www.imdb.com/title/tt0903747/,tvSeries,9.5,49,2008,"Crime, Drama, Thriller",1425100,2008-01-20,
20,tt4052886,2019-10-10,2019-10-10,,Lucifer,https://www.imdb.com/title/tt4052886/,tvSeries,8.2,42,2016,"Crime, Drama, Fantasy",221813,2016-01-25,
21,tt0460681,2019-10-10,2019-10-10,,Supernatural,https://www.imdb.com/title/tt0460681/,tvSeries,8.4,44,2005,"Drama, Fantasy, Horror, Mystery, Thriller",386633,2005-09-13,
22,tt0455275,2019-10-10,2019-10-10,,Prison Break,https://www.imdb.com/title/tt0455275/,tvSeries,8.3,44,2005,"Action, Crime, Drama, Mystery, Thriller",469313,2005-08-29,
23,tt3205802,2019-10-10,2019-10-10,,How to Get Away with Murder,https://www.imdb.com/title/tt3205802/,tvSeries,8.1,43,2014,"Crime, Drama, Mystery, Thriller",124549,2014-09-25,
24,tt1567432,2019-10-10,2019-10-10,,Teen Wolf,https://www.imdb.com/title/tt1567432/,tvSeries,7.6,41,2011,"Action, Drama, Fantasy, Romance, Thriller",124487,2011-06-05,
25,tt0096697,2019-10-10,2019-10-10,,The Simpsons,https://www.imdb.com/title/tt0096697/,tvSeries,8.7,22,1989,"Animation, Comedy",360870,1989-12-17,
26,tt1843230,2019-10-10,2019-10-10,,Once Upon a Time,https://www.imdb.com/title/tt1843230/,tvSeries,7.7,60,2011,"Adventure, Fantasy, Romance",206833,2011-10-23,
27,tt2707408,2019-10-10,2019-10-10,,Narcos,https://www.imdb.com/title/tt2707408/,tvSeries,8.8,49,2015,"Biography, Crime, Drama, Thriller",348283,2015-08-28,
28,tt3322312,2019-10-10,2019-10-10,,Daredevil,https://www.imdb.com/title/tt3322312/,tvSeries,8.6,54,2015,"Action, Crime, Drama, Fantasy, Sci-Fi, Thriller",357636,2015-04-02,
29,tt0108778,2019-10-10,2019-10-10,,Friends,https://www.imdb.com/title/tt0108778/,tvSeries,8.9,22,1994,"Comedy, Romance",805027,1994-09-22,
30,tt0460649,2019-10-10,2019-10-10,,How I Met Your Mother,https://www.imdb.com/title/tt0460649/,tvSeries,8.3,22,2005,"Comedy, Romance",592627,2005-09-19,
31,tt1632701,2019-10-10,2019-10-10,,Suits,https://www.imdb.com/title/tt1632701/,tvSeries,8.5,44,2011,"Comedy, Drama",358107,2011-06-23,
32,tt4158110,2019-10-10,2019-10-10,,Mr. Robot,https://www.imdb.com/title/tt4158110/,tvSeries,8.6,49,2015,"Crime, Drama, Thriller",326918,2015-03-17,
33,tt2632424,2019-10-10,2019-10-10,,The Originals,https://www.imdb.com/title/tt2632424/,tvSeries,8.2,45,2013,"Drama, Fantasy, Horror, Mystery",115272,2013-10-03,
34,tt4016454,2019-10-10,2019-10-10,,Supergirl,https://www.imdb.com/title/tt4016454/,tvSeries,6.3,43,2015,"Action, Adventure, Drama, Sci-Fi",109613,2015-07-11,
35,tt0397442,2019-10-10,2019-10-10,,Gossip Girl,https://www.imdb.com/title/tt0397442/,tvSeries,7.4,42,2007,"Drama, Romance",151556,2007-09-19,
36,tt2431438,2019-10-10,2019-10-10,,Sense8,https://www.imdb.com/title/tt2431438/,tvSeries,8.3,60,2015,"Drama, Mystery, Sci-Fi, Thriller",137219,2015-06-05,
37,tt3749900,2019-10-10,2019-10-10,,Gotham,https://www.imdb.com/title/tt3749900/,tvSeries,7.8,42,2014,"Action, Crime, Drama, Mystery, Sci-Fi, Thriller",209816,2014-07-26,
38,tt0475784,2019-10-10,2019-10-10,,Westworld,https://www.imdb.com/title/tt0475784/,tvSeries,8.7,62,2016,"Drama, Mystery, Sci-Fi",419058,2016-09-30,
39,tt2357547,2019-10-10,2019-10-10,,Jessica Jones,https://www.imdb.com/title/tt2357547/,tvSeries,7.9,56,2015,"Action, Crime, Drama, Sci-Fi, Thriller",191098,2015-10-10,
40,tt1442437,2019-10-10,2019-10-10,,Modern Family,https://www.imdb.com/title/tt1442437/,tvSeries,8.4,22,2009,"Comedy, Drama, Romance",347570,2009-09-23,
41,tt2861424,2019-10-10,2019-10-10,,Rick and Morty,https://www.imdb.com/title/tt2861424/,tvSeries,9.2,23,2013,"Animation, Adventure, Comedy, Sci-Fi",363923,2013-12-02,
42,tt4145054,2019-10-10,2019-10-10,,Shadowhunters: The Mortal Instruments,https://www.imdb.com/title/tt4145054/,tvSeries,6.6,42,2016,"Action, Drama, Fantasy, Romance",51970,2016-01-12,
