Song, Artist, Last Week, Peak Position, Weeks on Chart
Life Goes On,BTS,0,1,1
Mood,24kGoldn Featuring iann dior,1,1,16
Dynamite,BTS,14,1,14
Positions,Ariana Grande,3,1,5
I Hope,Gabby Barrett Featuring Charlie Puth,4,3,48
Holy,Justin Bieber Featuring Chance The Rapper,6,3,10
Laugh Now Cry Later,Drake Featuring Lil Durk,5,2,15
Monster,Shawn Mendes & Justin Bieber,0,8,1
Blinding Lights,The Weeknd,7,1,52
Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,8,6,15
Therefore I Am,Billie Eilish,2,2,3
Body,Megan Thee Stallion,0,12,1
Blue & Grey,BTS,0,13,1
All I Want For Christmas Is You,Mariah Carey,29,1,39
Dakiti,Bad Bunny & Jhay Cortez,9,8,4
For The Night,Pop Smoke Featuring Lil Baby & DaBaby,10,6,21
Go Crazy,Chris Brown & Young Thug,12,9,29
Kings & Queens,Ava Max,13,13,16
Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,11,1,24
More Than My Hometown,Morgan Wallen,15,15,24
Rockin' Around The Christmas Tree,Brenda Lee,43,2,34
Stay,BTS,0,22,1
WAP,Cardi B Featuring Megan Thee Stallion,16,1,16
Levitating,Dua Lipa Featuring DaBaby,20,20,8
Somebody's Problem,Morgan Wallen,0,25,1
Rockstar,DaBaby Featuring Roddy Ricch,17,1,32
Be Like That,Kane Brown With Swae Lee & Khalid,19,19,20
Before You Go,Lewis Capaldi,18,9,43
Bang!,AJR,24,24,21
34+35,Ariana Grande,27,8,4
Jingle Bell Rock,Bobby Helms,0,3,31
Lonely,Justin Bieber & benny blanco,26,14,6
ily,surf mesa Featuring Emilee,23,23,27
Said Sum,Moneybagg Yo,28,17,21
Hawai,Maluma & The Weeknd,22,12,14
Watermelon Sugar,Harry Styles,21,1,36
It's The Most Wonderful Time Of The Year,Andy Williams,0,7,16
One Beer,HARDY Featuring Lauren Alaina & Devin Dawson,34,33,25
Whats Poppin,Jack Harlow Featuring DaBaby; Tory Lanez & Lil Wayne,30,2,42
One Of Them Girls,Lee Brice,33,17,26
What You Know Bout Love,Pop Smoke,32,25,12
Last Christmas,Wham!,0,11,15
Pretty Heart,Parker McCollum,36,36,20
Happy Anywhere,Blake Shelton Featuring Gwen Stefani,38,36,18
Feliz Navidad,Jose Feliciano,0,12,10
Still Goin Down,Morgan Wallen,0,46,1
Better Together,Luke Combs,39,30,8
The Christmas Song (Merry Christmas To You),Nat King Cole,0,11,22
Let It Snow; Let It Snow; Let It Snow,Dean Martin,0,15,9
Love You Like I Used To,Russell Dickerson,35,31,12
Big; Big Plans,Chris Lane,42,42,8
Starting Over,Chris Stapleton,25,25,13
Forever After All,Luke Combs,40,2,5
Prisoner,Miley Cyrus Featuring Dua Lipa,0,54,1
Holiday,Lil Nas X,37,37,2
Diamonds,Sam Smith,48,40,10
Wonder,Shawn Mendes,44,18,8
I Should Probably Go To Bed,Dan + Shay,52,42,17
7 Summers,Morgan Wallen,63,6,15
Come & Go,Juice WRLD x Marshmello,47,2,20
Ain't Always The Cowboy,Jon Pardi,55,55,13
Don't Stop,Megan Thee Stallion Featuring Young Thug,70,30,8
You Broke Me First.,Tate McRae,51,50,14
pov,Ariana Grande,45,40,4
Mr. Right Now,21 Savage & Metro Boomin Featuring Drake,56,10,8
Whoopty,CJ,81,66,3
My Ex's Best Friend,Machine Gun Kelly X blackbear,59,28,15
B.S.,Jhene Aiko Featuring H.E.R.,62,24,17
Fly To My Room,BTS,0,69,1
Telepathy,BTS,0,70,1
Cry Baby,Megan Thee Stallion Featuring DaBaby,0,71,1
Dis-ease,BTS,0,72,1
Took Her To The O,King Von,60,47,3
Throat Baby (Go Baby),BRS Kash,69,69,6
Midnight Sky,Miley Cyrus,65,14,15
Champagne Night,Lady A,78,75,6
Tyler Herro,Jack Harlow,66,34,5
Franchise,Travis Scott Featuring Young Thug & M.I.A.,58,1,9
Good Time,Niko Moon,71,71,8
Girls In The Hood,Megan Thee Stallion,0,28,18
Golden,Harry Styles,77,74,6
Shots Fired,Megan Thee Stallion,0,82,1
Livin' The Dream,Morgan Wallen,0,83,1
Hit Different,SZA Featuring Ty Dolla $ign,76,29,12
Back To The Streets,Saweetie Featuring Jhene Aiko,0,76,2
Pain Away,Meek Mill Featuring Lil Durk,0,86,1
Hole In The Bottle,Kelsea Ballerini,72,72,7
U 2 Luv,Ne-Yo & Jeremih,73,66,8
Martin & Gina,Polo G,80,61,17
Drankin N Smokin,Future & Lil Uzi Vert,31,31,2
Wishing Well,Juice WRLD,84,5,20
Do It On The Tip,Megan Thee Stallion Featuring City Girls & Hot Girl Meg,0,92,1
Some Girls,Jameson Rodgers,79,29,16
Circles,Megan Thee Stallion,0,94,1
Put Your Records On,Ritt Momney,87,79,8
Popstar,DJ Khaled Featuring Drake,83,3,19
Bichota,Karol G,0,97,1
Happy Does,Kenny Chesney,90,85,6
Cover Me Up,Morgan Wallen,0,99,1
So Done,The Kid LAROI,75,59,5
